Model,Kalibrasi,ROC_AUC,Brier_Score,Log_Loss,ECE,Accuracy,Precision,Recall,Specificity,F1_Score,TP,FP,TN,FN
Logistic Regression (Baseline),Raw,1.0,0.02728258489449846,0.1158301134668925,0.05704880789217921,0.9615384615384616,0.9411764705882353,1.0,0.9,0.9696969696969697,16,1,9,0
Logistic Regression (Baseline),Platt,1.0,0.03170821018071667,0.14270381178185276,0.07485727043683406,0.9615384615384616,0.9411764705882353,1.0,0.9,0.9696969696969697,16,1,9,0
Logistic Regression (Baseline),Isotonic,0.9656250000000001,0.07244871929179629,1.4366453308280958,0.07461674918837875,0.9230769230769231,0.9375,0.9375,0.9,0.9375,15,1,9,1
Random Forest,Raw,0.9874999999999999,0.04211898057299843,0.14463783405517538,0.08120054945054946,0.9230769230769231,0.9375,0.9375,0.9,0.9375,15,1,9,1
Random Forest,Platt,1.0,0.06963780890359438,0.24176531681042285,0.12239680690198003,0.9615384615384616,0.9411764705882353,1.0,0.9,0.9696969696969697,16,1,9,0
Random Forest,Isotonic,0.915625,0.08014596207116982,2.6700039108066784,0.08805668016194332,0.9230769230769231,0.9375,0.9375,0.9,0.9375,15,1,9,1
Gradient Boosting,Raw,0.903125,0.09727520511235523,0.4887869133016239,0.10108511947482261,0.8846153846153846,0.9333333333333333,0.875,0.9,0.9032258064516129,14,1,9,2
Gradient Boosting,Platt,0.8656250000000001,0.09361384589533646,0.34906836238965544,0.07138967655584405,0.8846153846153846,0.9333333333333333,0.875,0.9,0.9032258064516129,14,1,9,2
Gradient Boosting,Isotonic,0.8781249999999999,0.10065970731191147,2.751260632554506,0.05923337145021256,0.8846153846153846,0.9333333333333333,0.875,0.9,0.9032258064516129,14,1,9,2
MLP Neural Network,Raw,1.0,0.012661411002701137,0.03405638298775688,0.0233350141444971,0.9615384615384616,0.9411764705882353,1.0,0.9,0.9696969696969697,16,1,9,0
MLP Neural Network,Platt,1.0,0.02164068247927263,0.1149811400645059,0.09903521296070295,0.9615384615384616,0.9411764705882353,1.0,0.9,0.9696969696969697,16,1,9,0
MLP Neural Network,Isotonic,1.0,0.01384639973181324,0.03558218990271543,0.023419160524059568,0.9615384615384616,0.9411764705882353,1.0,0.9,0.9696969696969697,16,1,9,0
